Date,Shelfmark(s),Add. Info,Book(s).(chapter),Locus,Place,Institution,DOI,URL,Licence (images)
15th,Vat.lat.444,Tabulae et capitula diversa,N/A,1r-108r,Città del Vaticano,Biblioteca Apostolica Vaticana,81931,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81931,
15th,Vat.lat.444,Tabula de auctoribus Bibliae,N/A,90v-103v,Città del Vaticano,Biblioteca Apostolica Vaticana,81929,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81929,
15th,Cod. Guelf. 56.3.2 Aug. 4° (Heinemann-Nr. 3594),,,,Wolfenbüttel,Herzog-August-Bibliothek,,http://diglib.hab.de/?db=mss&list=ms&id=56-3-2-aug-4f&catalog=Heinemann,NO IMAGES
1418,Barb.lat.32,Excerptum,6.3,12v(2),Città del Vaticano,Biblioteca Apostolica Vaticana,84572,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=84572,
mid 15th,Urb.lat.78,,43100,3r-374v,Città del Vaticano,Biblioteca Apostolica Vaticana,81898,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81898,
mid 15th,Vat.lat.226,,20.30.5,180v(1),Città del Vaticano,Biblioteca Apostolica Vaticana,81914,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81914,
1453,Vat.lat.441,Prologi in libros,N/A,1r-255r passim,Città del Vaticano,Biblioteca Apostolica Vaticana,81927,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81927,
1453,Vat.lat.441,,43100,3r-273v,Città del Vaticano,Biblioteca Apostolica Vaticana,81895,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81895,
1460,Vat.lat.434,,43100,2r-391v,Città del Vaticano,Biblioteca Apostolica Vaticana,81888,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81888,
1462,Vat.lat.440,,43100,10r-270r,Città del Vaticano,Biblioteca Apostolica Vaticana,81894,http://www.mss.vatlib.it/guii/console?service=shortDetail&id=81894,
1470-1490,Cod. Lat. 121,,,,Budapest,Országos Széchényi Könyvtár,N/A,http://www.corvina.oszk.hu/corvinas-html/hub1codlat121.htm,
1473,2 Inc.c.a. 176,,,,Mainz,,urn:nbn:de:bvb:12-bsb00041050-6,,
1475,Harley MS 3802,Fragmenta,,,London,British Library,N/A,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_3802,
1475,Harley MS 3801,Leaves of 9th cent MS,,,London,British Library,N/A,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_3802,
1490,2 Inc.c.a. 2369 d,,,,Basel,,urn:nbn:de:bvb:12-bsb00025317-8,http://daten.digitale-sammlungen.de/~db/0002/bsb00025317/image_18,
1498,479,,,ff. 1ra-216va,Ravenna,Biblioteca Classense,,http://www.manoscrittidatati.it/cgi-bin/wxis.exe/?IsisScript=mdi/export.xis&tag6100=Mdi&tag5997=11&tag5998=77,
